dataset_name,random_state,eigenvalues,eigenvalues_dtype,cm_tr,cm_ts
pk,732560260,No eigenvalues,No eigenvalues,[20  4  3 70],[13 11  4 70],1,[20  4  3 70],[13 11  4 70],[20  4  2 71],[13 11  6 68],[23  1  0 73],[17  7 17 57],[24  0  0 73],[19  5 20 54],[24  0  0 73],[16  8 16 58],[24  0  0 73],[15  9 19 55]
pk,780297093,No eigenvalues,No eigenvalues,[16  8  1 72],[12 12  2 72],1,[16  8  1 72],[12 12  2 72],[18  6  2 71],[16  8  6 68],[24  0  2 71],[18  6  8 66],[24  0  0 73],[19  5 10 64],[24  0  0 73],[21  3 10 64],[24  0  0 73],[14 10 19 55]
pk,771721097,No eigenvalues,No eigenvalues,[19  5  3 70],[15  9  6 68],1,[19  5  3 70],[15  9  6 68],[20  4  2 71],[17  7 10 64],[22  2  1 72],[16  8  5 69],[23  1  0 73],[17  7  8 66],[24  0  0 73],[20  4 19 55],[24  0  0 73],[15  9 15 59]
