dataset_name,random_state,cm_tr,cm_ts
wf24f,254628334,"[1508  242    0   14  466 1208    1    2  173   64   25    0  469  121
    0   71]",[367  73   0   1 117 302   1   0  43  16   7   0 125  29   0  11]
wf24f,702861175,"[1499  251    0   14  458 1215    1    3  168   76   18    0  470  124
    0   67]",[366  72   0   3 135 283   1   1  46  13   7   0 117  30   0  18]
wf4f,54454491,"[1426  333    0    5    2 1663   12    0  166   27   69    0  583   51
    0   27]",[347  91   0   3   1 413   6   0  40   9  17   0 152  11   0   2]
wf4f,1406300211,"[1428  329    0    7    0 1661   16    0  166   29   67    0  605   38
    0   18]",[345  95   0   1   1 417   2   0  43   6  17   0 152  11   0   2]
wf24f,2015820521,"[1475  281    0    8  435 1237    1    4  183   73    6    0  446  129
    0   86]",[371  62   0   8 100 320   0   0  42  20   4   0 112  37   0  16]
wf24f,1574939224,"[1493  259    0   12  457 1215    2    3  166   79   17    0  456  129
    0   76]",[366  71   0   4 121 297   1   1  48  12   6   0 117  33   0  15]
wf24f,375682159,"[1501  257    0    6  447 1227    1    2  159   72   31    0  483  125
    0   53]",[366  74   0   1 100 319   1   0  42  20   4   0 121  34   0  10]
wf24f,1208057369,"[1497  259    0    8  460 1211    1    5  165   69   28    0  464  124
    0   73]",[377  56   0   8 123 293   2   2  47  16   3   0 108  33   0  24]
wf4f,468338682,"[1431  325    0    8    3 1658   16    0  167   27   68    0  607   39
    0   15]",[366  75   0   0   1 417   2   0  42   8  16   0 156   3   0   6]
wf24f,390873262,"[1500  252    0   12  482 1191    0    4  167   73   22    0  475  125
    0   61]",[369  70   0   2 118 300   1   1  41  21   4   0 118  30   0  17]
wf4f,1837987233,"[1419  339    0    6    1 1660   16    0  169   27   66    0  604   33
    0   24]",[352  87   0   2   0 418   2   0  42   6  18   0 146  13   0   6]
wf4f,1320910298,"[1413  344    0    7    0 1663   14    0  173   31   58    0  608   37
    0   16]",[363  77   0   1   1 415   4   0  36   4  26   0 154   7   0   4]
wf24f,1586326972,"[1495  260    0    9  487 1183    2    5  177   72   13    0  475  120
    0   66]",[383  53   0   5 107 313   0   0  52  11   3   0 123  28   0  14]
wf4f,915280321,"[1412  345    0    7    3 1662   12    0  177   19   66    0  604   38
    0   19]",[365  75   0   1   0 414   6   0  34  14  18   0 145   9   0  11]
wf24f,1056830043,"[1471  279    0   14  426 1246    2    3  165   74   23    0  462  125
    0   74]",[359  80   0   2 119 301   0   0  43  19   4   0 109  35   0  21]
wf24f,223177552,"[1482  271    0   11  457 1217    1    2  160   76   26    0  468  127
    0   66]",[370  68   0   3 106 314   0   0  50  11   5   0 112  33   0  20]
wf24f,139017236,"[1487  263    0   14  447 1227    0    3  176   66   20    0  451  126
    0   84]",[366  73   0   2 120 299   1   0  43  19   4   0 125  26   0  14]
wf24f,368961245,"[1496  256    0   12  451 1221    2    3  183   63   16    0  471  114
    0   76]",[377  59   0   5 123 295   0   2  43  21   2   0 109  34   0  22]
wf4f,641931343,"[1424  334    0    6    1 1659   17    0  165   30   67    0  609   35
    0   17]",[353  86   0   2   0 419   1   0  44   5  17   0 151   8   0   6]
wf4f,377822342,"[1434  323    0    7    4 1658   15    0  167   28   67    0  615   31
    0   15]",[347  93   0   1   0 417   3   0  41   8  17   0 147  12   0   6]
wf4f,919435187,"[1412  347    0    5    0 1660   17    0  167   29   66    0  599   40
    0   22]",[365  73   0   3   1 418   1   0  44   4  18   0 157   6   0   2]
wf24f,1040585337,"[1492  261    0   11  456 1217    1    3  177   75   10    0  483  118
    0   60]",[377  63   0   1 114 305   1   0  47  17   2   0 118  29   0  18]
wf24f,2111180817,"[1484  268    0   12  458 1214    2    3  170   69   23    0  473  115
    0   73]",[380  59   0   2 116 304   0   0  40  20   6   0 122  29   0  14]
wf24f,380269677,"[1492  260    0   12  443 1230    2    2  162   73   27    0  470  127
    0   64]",[378  61   0   2 125 293   1   1  45  14   7   0 118  28   0  19]
wf4f,1530937790,"[1422  336    0    6    0 1662   15    0  169   29   64    0  606   37
    0   18]",[350  89   0   2   1 416   3   0  40   6  20   0 152  10   0   3]
wf24f,915280321,"[1501  248    0   15  439 1233    1    4  175   60   27    0  448  124
    0   89]",[373  66   0   2 133 285   0   2  40  22   4   0 112  37   0  16]
wf24f,834749963,"[1484  268    0   12  453 1220    2    2  174   74   14    0  475  117
    0   69]",[374  65   0   2 125 292   0   3  50  16   0   0 112  35   0  18]
wf4f,133006160,"[1426  331    0    7    3 1658   16    0  170   31   61    0  616   30
    0   15]",[345  95   0   1   0 418   2   0  38   5  23   0 142  17   0   6]
wf4f,1374845114,"[1431  326    0    7    1 1660   16    0  162   31   69    0  612   35
    0   14]",[345  95   0   1   0 418   2   0  47   4  15   0 152   9   0   4]
wf4f,1278535671,"[1424  335    0    5    2 1658   17    0  164   28   70    0  600   38
    0   23]",[355  83   0   3   0 419   1   0  45   7  14   0 154   6   0   5]
wf4f,1688120438,"[1408  350    0    6    1 1664   12    0  170   25   67    0  600   38
    0   23]",[366  73   0   2   0 414   6   0  42   7  17   0 151   9   0   5]
wf24f,838666224,"[1498  256    0   10  470 1204    1    2  175   75   12    0  476  124
    0   61]",[379  62   0   0 119 301   0   0  47  17   2   0 129  27   0   9]
wf24f,399499449,"[1495  263    0    6  455 1219    1    2  173   60   29    0  485  120
    1   55]",[384  56   0   1 120 297   1   2  39  23   4   0 115  32   0  18]
wf24f,919435187,"[1496  256    0   12  461 1213    2    1  179   77    6    0  463  128
    0   70]",[366  71   0   4 116 303   0   1  44  17   5   0 124  27   0  14]
wf24f,1250963153,"[1493  259    0   12  456 1216    2    3  184   65   13    0  457  122
    0   82]",[384  53   0   4 130 290   0   0  46  19   1   0 117  30   0  18]
wf4f,1000819612,"[1408  348    0    8    1 1662   14    0  165   27   70    0  591   46
    0   24]",[366  75   0   0   0 416   4   0  47   5  14   0 153  11   0   1]
wf4f,2007166991,"[1414  345    0    5    1 1659   17    0  169   29   64    0  604   38
    0   19]",[360  78   0   3   0 419   1   0  39   7  20   0 153   6   0   6]
wf4f,851227813,"[1430  326    0    8    3 1657   17    0  169   24   69    0  605   37
    0   19]",[351  90   0   0   0 419   1   0  42   9  15   0 157   7   0   1]
wf4f,1772115024,"[1418  339    0    7    2 1660   15    0  167   25   70    0  606   35
    0   20]",[370  70   0   1   1 416   3   0  43   9  14   0 153   9   0   3]
wf4f,913970101,"[1426  331    0    7    1 1660   16    0  163   31   68    0  609   35
    0   17]",[355  85   0   1   1 417   2   0  45   5  16   0 153   8   0   4]
wf4f,1448292546,"[1426  331    0    7    2 1660   15    0  165   29   68    0  598   39
    0   24]",[359  81   0   1   2 415   3   0  44   6  16   0 154   7   0   4]
wf24f,700577981,"[1493  261    0   10  445 1229    0    3  178   72   12    0  475  121
    0   65]",[371  69   0   1 120 296   2   2  43  18   5   0 115  32   0  18]
wf4f,345568667,"[1420  337    0    7    0 1662   15    0  174   21   67    0  602   41
    0   18]",[350  90   0   1   1 416   3   0  35  14  17   0 155   8   0   2]
wf24f,674751741,"[1498  255    0   11  453 1218    2    4  177   76    9    0  460  122
    0   79]",[370  68   0   3 110 309   0   1  47  16   3   0 120  29   0  16]
wf24f,1278535671,"[1493  260    0   11  475 1198    1    3  182   70   10    0  480  115
    0   66]",[389  49   0   3 129 291   0   0  47  16   3   0 124  21   0  20]
wf24f,292988335,"[1497  254    0   13  453 1220    1    3  180   70   12    0  448  124
    0   89]",[366  71   0   4 126 293   1   0  47  16   3   0 110  40   0  15]
wf4f,823797517,"[1430  327    0    7    1 1663   13    0  165   28   69    0  606   35
    0   20]",[346  94   0   1   0 415   5   0  46   5  15   0 148  11   0   6]
wf4f,571639701,"[1428  331    0    5    1 1661   15    0  165   30   67    0  601   36
    0   24]",[355  83   0   3   0 417   3   0  45   4  17   0 152   7   0   6]
wf4f,349113877,"[1423  333    0    8    1 1663   13    0  164   27   71    0  603   40
    0   18]",[360  81   0   0   2 413   5   0  47   6  13   0 155   7   0   3]
wf4f,835275023,"[1423  337    0    4    1 1663   13    0  165   29   68    0  598   35
    0   28]",[352  84   0   5   0 415   5   0  47   3  16   0 151  12   0   2]
wf4f,567860406,"[1423  335    0    6    4 1657   16    0  170   26   66    0  606   36
    0   19]",[357  82   0   2   0 418   2   0  37  11  18   0 155   8   0   2]
wf4f,1574939224,"[1416  341    0    7    0 1660   17    0  163   27   72    0  609   33
    0   19]",[363  77   0   1   1 418   1   0  48   6  12   0 150  10   0   5]
wf24f,267322110,"[1487  264    0   13  463 1209    3    2  173   65   24    0  469  116
    0   76]",[388  50   0   3 115 303   0   2  35  25   6   0 114  33   0  18]
wf24f,851227813,"[1493  263    0    8  444 1227    2    4  174   69   19    0  481  119
    0   61]",[372  64   0   5 125 292   1   2  42  18   6   0 121  24   0  20]
wf24f,1372041979,"[1496  259    0    9  448 1223    3    3  173   73   16    0  466  131
    0   64]",[377  60   0   4 114 304   0   2  45  15   6   0 121  28   0  16]
wf4f,1675535513,"[1415  341    0    8    2 1664   11    0  168   23   71    0  591   47
    0   23]",[361  80   0   0   1 412   7   0  43  10  13   0 145  15   0   5]
wf24f,829986915,"[1480  269    0   15  453 1220    3    1  169   76   17    0  460  123
    0   78]",[381  58   0   2 112 307   0   1  46  16   4   0 121  29   0  15]
wf4f,1916154678,"[1416  341    0    7    2 1661   14    0  167   29   66    0  600   36
    0   25]",[363  77   0   1   0 416   4   0  43   5  18   0 149  11   0   5]
wf4f,2111180817,"[1425  332    0    7    1 1661   15    0  169   25   68    0  609   40
    0   12]",[346  94   0   1   0 417   3   0  42   8  16   0 151   6   0   8]
wf4f,223177552,"[1423  336    0    5    2 1661   14    0  161   28   73    0  585   49
    0   27]",[347  91   0   3   1 415   4   0  48   7  11   0 147  15   0   3]
wf4f,375682159,"[1423  336    0    5    2 1662   13    0  161   29   72    0  596   48
    0   17]",[341  97   0   3   0 415   5   0  47   7  12   0 147  13   0   5]
wf4f,1885254942,"[1418  338    0    8    1 1660   16    0  176   24   62    0  615   30
    0   16]",[356  85   0   0   0 418   2   0  34  10  22   0 148  13   0   4]
wf24f,827166624,"[1496  257    0   11  478 1191    2    6  171   73   18    0  468  118
    0   75]",[380  54   0   7 117 300   0   3  40  21   5   0 116  29   0  20]
wf24f,345568667,"[1481  271    0   12  467 1205    1    4  184   62   16    0  468  112
    0   81]",[380  57   0   4 123 296   0   1  40  21   5   0 113  37   0  15]
wf4f,838666224,"[1415  343    0    6    0 1661   16    0  164   30   68    0  603   37
    0   21]",[348  91   0   2   1 417   2   0  46   4  16   0 154   7   0   4]
wf24f,1896513159,"[1468  283    0   13  473 1199    1    4  163   70   29    0  450  124
    0   87]",[392  44   0   5 103 314   2   1  50  13   3   0 113  34   0  18]
wf4f,380269677,"[1421  335    0    8    3 1660   14    0  167   26   69    0  601   38
    0   22]",[371  70   0   0   0 416   4   0  43   8  15   0 155   6   0   4]
wf24f,879897629,"[1483  269    0   12  447 1228    0    2  163   76   23    0  470  123
    0   68]",[368  68   0   5 128 290   2   0  45  14   7   0 116  27   0  22]
wf4f,139017236,"[1420  336    0    8    1 1661   15    0  165   27   70    0  607   37
    0   17]",[360  81   0   0   0 417   3   0  46   6  14   0 154   7   0   4]
wf4f,834749963,"[1433  324    0    7    1 1663   13    0  161   29   72    0  597   38
    0   26]",[348  92   0   1   1 414   5   0  49   5  12   0 152   9   0   4]
wf4f,1062239611,"[1425  333    0    6    3 1660   14    0  167   24   71    0  605   43
    0   13]",[355  84   0   2   0 416   4   0  43  10  13   0 154   4   0   7]
wf4f,674751741,"[1407  350    0    7    2 1659   16    0  170   26   66    0  608   38
    0   15]",[366  74   0   1   0 418   2   0  41   7  18   0 146  13   0   6]
wf2f,913970101,"[1396  361    0    7    0 1661   16    0  173   21   68    0  603   36
    0   22]",[350  90   0   1   0 418   2   0  47   3  16   0 151   8   0   6]
wf2f,1448292546,"[1400  357    0    7    0 1662   15    0  174   20   68    0  598   37
    0   26]",[353  87   0   1   0 417   3   0  47   3  16   0 154   7   0   4]
wf2f,1688120438,"[1388  370    0    6    0 1665   12    0  174   21   67    0  601   35
    0   25]",[359  80   0   2   0 414   6   0  47   2  17   0 150  10   0   5]
wf4f,700577981,"[1434  324    0    6    1 1661   15    0  165   26   71    0  606   39
    0   16]",[338 101   0   2   0 417   3   0  44   9  13   0 152   8   0   5]
wf4f,1372041979,"[1417  342    0    5    2 1662   13    0  169   28   65    0  597   39
    0   25]",[362  76   0   3   2 413   5   0  40   7  19   0 149  12   0   4]
wf4f,1191732320,"[1404  354    0    6    0 1660   17    0  167   26   69    0  615   32
    0   14]",[354  85   0   2   0 419   1   0  45   6  15   0 147  12   0   6]
wf2f,349113877,"[1399  357    0    8    0 1664   13    0  172   19   71    0  601   38
    0   22]",[355  86   0   0   0 415   5   0  49   4  13   0 154   6   0   5]
wf24f,975070137,"[1495  255    0   14  467 1206    2    2  172   66   24    0  453  129
    0   79]",[376  63   0   2 123 297   0   0  41  19   6   0 124  26   0  15]
wf2f,1772115024,"[1390  367    0    7    0 1662   15    0  176   16   70    0  600   34
    0   27]",[372  68   0   1   0 417   3   0  47   5  14   0 152  10   0   3]
wf2f,571639701,"[1396  363    0    5    0 1662   15    0  175   20   67    0  600   37
    0   24]",[353  85   0   3   0 417   3   0  45   4  17   0 152   7   0   6]
wf4f,267322110,"[1421  336    0    7    2 1662   13    0  174   24   64    0  603   42
    0   16]",[355  85   0   1   1 414   5   0  35  11  20   0 155   5   0   5]
wf2f,1675535513,"[1381  375    0    8    0 1666   11    0  178   13   71    0  603   34
    0   24]",[366  75   0   0   0 413   7   0  46   7  13   0 148  11   0   6]
wf24f,614349878,"[1507  243    0   14  469 1203    2    3  168   75   19    0  465  116
    0   80]",[379  60   0   2 130 288   0   2  46  14   6   0 117  31   0  17]
wf4f,1896513159,"[1403  355    0    6    0 1662   15    0  168   26   68    0  604   36
    0   21]",[367  72   0   2   1 416   3   0  45   5  16   0 146  10   0   9]
wf4f,1531777415,"[1428  330    0    6    2 1662   13    0  167   24   71    0  598   38
    0   25]",[356  83   0   2   0 415   5   0  41  10  15   0 151   9   0   5]
wf2f,1574939224,"[1397  360    0    7    0 1660   17    0  169   21   72    0  605   35
    0   21]",[352  88   0   1   0 419   1   0  51   3  12   0 147   9   0   9]
wf2f,823797517,"[1401  356    0    7    0 1664   13    0  172   21   69    0  604   33
    0   24]",[338 102   0   1   0 415   5   0  48   3  15   0 148  11   0   6]
wf2f,2070448984,"[1386  372    0    6    0 1662   15    0  180   16   66    0  604   35
    0   22]",[341  98   0   2   0 417   3   0  40   8  18   0 151  10   0   4]
wf2f,375682159,"[1396  363    0    5    0 1664   13    0  170   20   72    0  604   34
    0   23]",[327 111   0   3   0 415   5   0  50   4  12   0 148  12   0   5]
wf4f,827166624,"[1415  342    0    7    1 1661   15    0  172   26   64    0  612   36
    0   13]",[364  76   0   1   0 417   3   0  40   6  20   0 150   8   0   7]
wf24f,1292477511,"[1475  276    0   13  448 1224    1    4  166   70   26    0  456  119
    0   86]",[381  56   0   4 113 305   1   1  42  18   6   0 116  35   0  14]
wf4f,975070137,"[1420  337    0    7    2 1664   11    0  168   24   70    0  604   38
    0   19]",[364  76   0   1   0 413   7   0  40  10  16   0 148   9   0   8]
wf2f,223177552,"[1388  371    0    5    0 1663   14    0  172   17   73    0  599   35
    0   27]",[337 101   0   3   0 416   4   0  48   7  11   0 151  11   0   3]
wf4f,714771773,"[1419  339    0    6    0 1662   15    0  170   24   68    0  603   33
    0   25]",[347  92   0   2   0 417   3   0  43   7  16   0 150  10   0   5]
wf2f,567860406,"[1385  373    0    6    0 1661   16    0  178   18   66    0  604   35
    0   22]",[351  88   0   2   0 418   2   0  41   7  18   0 154   9   0   2]
wf2f,173714041,"[1390  369    0    5    0 1662   15    0  178   19   65    0  596   40
    0   25]",[345  93   0   3   0 417   3   0  42   5  19   0 158   4   0   3]
wf2f,139017236,"[1394  362    0    8    0 1662   15    0  173   19   70    0  604   37
    0   20]",[356  85   0   0   0 417   3   0  47   5  14   0 154   7   0   4]
wf2f,318237287,"[1387  370    0    7    0 1664   13    0  181   19   62    0  602   32
    0   27]",[363  76   0   2   0 415   5   0  40   4  22   0 150  12   0   3]
wf2f,380269677,"[1399  357    0    8    0 1663   14    0  177   16   69    0  598   38
    0   25]",[363  78   0   0   0 416   4   0  45   6  15   0 154   6   0   5]
wf4f,1614471612,"[1431  327    0    6    1 1664   12    0  165   25   72    0  607   35
    0   19]",[348  91   0   2   0 414   6   0  46   8  12   0 150   9   0   6]
wf4f,1292477511,"[1422  336    0    6    1 1663   13    0  166   28   68    0  604   34
    0   23]",[359  79   0   3   0 415   5   0  47   3  16   0 148  10   0   7]
wf2f,495778187,"[1394  366    0    4    0 1663   14    0  176   20   66    0  600   36
    0   25]",[349  87   0   5   0 416   4   0  44   4  18   0 152   8   0   5]
wf2f,226674600,"[1399  358    0    7    0 1661   16    0  175   22   65    0  613   37
    0   11]",[346  94   0   1   0 418   2   0  44   3  19   0 155   7   0   3]
wf2f,915280321,"[1395  362    0    7    0 1665   12    0  181   15   66    0  607   35
    0   19]",[356  84   0   1   0 414   6   0  40   8  18   0 145   9   0  11]
wf4f,1090505867,"[1431  326    0    7    2 1663   12    0  169   26   67    0  594   47
    0   20]",[345  95   0   1   1 413   6   0  42   7  17   0 146  15   0   4]
wf2f,702861175,"[1403  353    0    8    0 1665   12    0  168   20   74    0  608   34
    0   19]",[341 100   0   0   0 414   6   0  53   3  10   0 150  11   0   4]
wf2f,1250963153,"[1382  374    0    8    0 1662   15    0  171   20   71    0  609   37
    0   15]",[370  71   0   0   0 417   3   0  50   3  13   0 152   7   0   6]
wf2f,844867540,"[1401  355    0    8    0 1666   11    0  180   18   64    0  601   39
    0   21]",[348  93   0   0   0 413   7   0  42   4  20   0 153   6   0   6]
wf2f,2015820521,"[1390  368    0    6    0 1663   14    0  175   19   68    0  600   36
    0   25]",[327 112   0   2   0 416   4   0  43   7  16   0 151   9   0   5]
wf4f,105877503,"[1430  326    0    8    2 1663   12    0  168   29   65    0  597   45
    0   19]",[343  98   0   0   1 413   6   0  42   5  19   0 149  14   0   2]
wf4f,2006175329,"[1417  339    0    8    1 1661   15    0  172   31   59    0  611   35
    0   15]",[372  69   0   0   0 417   3   0  38   3  25   0 153   7   0   5]
wf2f,919435187,"[1382  377    0    5    0 1660   17    0  176   20   66    0  595   38
    0   28]",[364  74   0   3   0 419   1   0  44   4  18   0 157   6   0   2]
wf2f,1586326972,"[1410  347    0    7    0 1661   16    0  178   19   65    0  604   36
    0   21]",[352  88   0   1   0 418   2   0  43   4  19   0 151   8   0   6]
wf2f,292988335,"[1397  361    0    6    0 1664   13    0  178   16   68    0  606   34
    0   21]",[349  90   0   2   0 415   5   0  43   7  16   0 145  11   0   9]
wf4f,536714102,"[1423  336    0    5    1 1661   15    0  175   29   58    0  609   37
    0   15]",[348  90   0   3   0 417   3   0  36   4  26   0 147  12   0   6]
wf2f,1980932681,"[1391  368    0    5    0 1662   15    0  169   18   75    0  599   37
    0   25]",[355  83   0   3   0 417   3   0  52   5   9   0 152   8   0   5]
wf2f,1056830043,"[1393  365    0    6    0 1663   14    0  174   16   72    0  596   41
    0   24]",[359  80   0   2   0 416   4   0  47   7  12   0 156   3   0   6]
wf2f,1278535671,"[1400  359    0    5    0 1660   17    0  173   19   70    0  597   39
    0   25]",[347  91   0   3   0 419   1   0  47   5  14   0 155   5   0   5]
wf4f,150112056,"[1413  345    0    6    1 1663   13    0  168   26   68    0  602   37
    0   22]",[355  84   0   2   0 415   5   0  44   6  16   0 149  10   0   6]
wf2f,1040585337,"[1392  368    0    4    0 1663   14    0  179   19   64    0  599   38
    0   24]",[340  97   0   4   0 416   4   0  41   5  20   0 152   7   0   6]
wf4f,76675552,"[1419  339    0    6    1 1661   15    0  168   29   65    0  606   35
    0   20]",[362  77   0   2   0 417   3   0  42   5  19   0 149   8   0   8]
wf2f,829986915,"[1395  362    0    7    0 1662   15    0  171   21   70    0  609   34
    0   18]",[336 104   0   1   0 417   3   0  49   3  14   0 150  11   0   4]
wf2f,254628334,"[1395  361    0    8    0 1663   14    0  169   19   74    0  602   37
    0   22]",[349  92   0   0   0 416   4   0  52   4  10   0 152   8   0   5]
wf2f,851227813,"[1407  349    0    8    0 1660   17    0  174   19   69    0  604   37
    0   20]",[343  98   0   0   0 419   1   0  46   5  15   0 157   7   0   1]
wf2f,2111180817,"[1397  360    0    7    0 1662   15    0  177   17   68    0  605   40
    0   16]",[335 105   0   1   0 417   3   0  43   7  16   0 152   5   0   8]
wf4f,2070448984,"[1421  337    0    6    1 1661   15    0  169   27   66    0  600   42
    0   19]",[349  90   0   2   0 417   3   0  40   8  18   0 150  13   0   2]
wf2f,399499449,"[1399  359    0    6    0 1665   12    0  170   17   75    0  601   39
    0   21]",[355  84   0   2   0 414   6   0  52   5   9   0 150   6   0   9]
wf4f,835526394,"[1414  344    0    6    1 1661   15    0  168   26   68    0  607   37
    0   17]",[362  77   0   2   0 417   3   0  44   6  16   0 152   9   0   4]
wf2f,879897629,"[1392  367    0    5    0 1660   17    0  175   20   67    0  600   38
    0   23]",[346  92   0   3   0 419   1   0  44   5  17   0 152   6   0   7]
wf2f,390873262,"[1391  366    0    7    0 1660   17    0  178   19   65    0  607   31
    0   23]",[344  96   0   1   0 419   1   0  41   6  19   0 145  13   0   7]
wf2f,838666224,"[1394  364    0    6    0 1661   16    0  173   21   68    0  600   36
    0   25]",[341  98   0   2   0 418   2   0  47   3  16   0 152   8   0   5]
wf4f,831782023,"[1417  341    0    6    2 1661   14    0  166   24   72    0  606   40
    0   15]",[368  71   0   2   1 415   4   0  42  12  12   0 155   4   0   6]
wf2f,345568667,"[1384  373    0    7    0 1662   15    0  181   14   67    0  602   38
    0   21]",[344  96   0   1   0 417   3   0  39  10  17   0 156   7   0   2]
wf2f,674751741,"[1376  381    0    7    0 1661   16    0  178   18   66    0  608   32
    0   21]",[357  83   0   1   0 418   2   0  42   6  18   0 147  12   0   6]
wf4f,173714041,"[1431  328    0    5    2 1660   15    0  169   28   65    0  600   42
    0   19]",[345  93   0   3   1 416   3   0  39   8  19   0 158   4   0   3]
wf2f,614349878,"[1384  375    0    5    0 1663   14    0  172   23   67    0  602   35
    0   24]",[350  88   0   3   0 416   4   0  47   2  17   0 150   9   0   6]
wf2f,1565921456,"[1395  363    0    6    0 1661   16    0  176   21   65    0  600   34
    0   27]",[350  89   0   2   0 418   2   0  43   4  19   0 152  10   0   3]
wf4f,448781952,"[1419  338    0    7    2 1662   13    0  166   26   70    0  597   47
    0   17]",[353  87   0   1   1 414   5   0  44   8  14   0 146  15   0   4]
wf2f,700577981,"[1401  357    0    6    0 1662   15    0  173   18   71    0  606   36
    0   19]",[332 107   0   2   0 417   3   0  46   7  13   0 152   8   0   5]
wf2f,835275023,"[1404  356    0    4    0 1664   13    0  173   21   68    0  600   33
    0   28]",[343  93   0   5   0 415   5   0  49   1  16   0 151  12   0   2]
wf4f,1538414818,"[1417  342    0    5    3 1660   14    0  168   29   65    0  600   39
    0   22]",[360  78   0   3   0 416   4   0  42   5  19   0 150   7   0   8]
wf2f,1372041979,"[1396  363    0    5    0 1664   13    0  180   17   65    0  601   34
    0   26]",[351  87   0   3   0 415   5   0  41   6  19   0 151  10   0   4]
wf2f,1687681813,"[1392  367    0    5    0 1663   14    0  175   18   69    0  601   36
    0   24]",[350  88   0   3   0 416   4   0  45   6  15   0 151   8   0   6]
wf2f,1216982159,"[1383  374    0    7    0 1660   17    0  178   14   70    0  606   39
    0   16]",[351  89   0   1   0 419   1   0  40  12  14   0 156   5   0   4]
wf4f,226674600,"[1434  323    0    7    1 1660   16    0  164   33   65    0  622   36
    0    3]",[346  94   0   1   0 418   2   0  44   3  19   0 157   7   0   1]
wf2f,267322110,"[1398  359    0    7    0 1664   13    0  181   17   64    0  603   41
    0   17]",[349  91   0   1   0 415   5   0  39   7  20   0 155   3   0   7]
wf2f,1916154678,"[1388  369    0    7    0 1663   14    0  175   21   66    0  601   35
    0   25]",[359  81   0   1   0 416   4   0  46   2  18   0 150  10   0   5]
wf4f,722158869,"[1433  325    0    6    3 1657   17    0  169   27   66    0  604   36
    0   21]",[346  93   0   2   1 418   1   0  39   9  18   0 152  10   0   3]
wf2f,1896513159,"[1373  385    0    6    0 1662   15    0  173   21   68    0  606   34
    0   21]",[369  70   0   2   0 417   3   0  47   3  16   0 146  10   0   9]
wf2f,43597691,"[1395  362    0    7    0 1664   13    0  175   19   68    0  605   38
    0   18]",[366  74   0   1   0 415   5   0  47   3  16   0 147   6   0  12]
wf4f,992352623,"[1414  346    0    4    1 1662   14    0  168   26   68    0  602   37
    0   22]",[367  70   0   4   0 416   4   0  43   7  16   0 150   7   0   8]
wf2f,2063848834,"[1386  374    0    4    0 1664   13    0  180   14   68    0  595   41
    0   25]",[330 107   0   4   0 415   5   0  39  11  16   0 155   5   0   5]
wf2f,1885254942,"[1388  368    0    8    0 1661   16    0  181   19   62    0  612   31
    0   18]",[352  89   0   0   0 418   2   0  38   6  22   0 147  13   0   5]
wf2f,975070137,"[1394  363    0    7    0 1666   11    0  176   16   70    0  604   35
    0   22]",[356  84   0   1   0 413   7   0  44   6  16   0 147  10   0   8]
wf2f,827166624,"[1392  365    0    7    0 1662   15    0  180   18   64    0  609   36
    0   16]",[364  76   0   1   0 417   3   0  41   5  20   0 149   8   0   8]
wf4f,2015820521,"[1426  332    0    6    1 1662   14    0  169   25   68    0  592   50
    0   19]",[339 100   0   2   0 416   4   0  40  10  16   0 152   9   0   4]
wf2f,1429796205,"[1404  353    0    7    0 1663   14    0  173   21   68    0  608   33
    0   20]",[344  96   0   1   0 416   4   0  48   2  16   0 149  12   0   4]
wf4f,1947729121,"[1403  353    0    8    1 1662   14    0  166   30   66    0  605   37
    0   19]",[370  71   0   0   0 416   4   0  45   3  18   0 154   6   0   5]
wf2f,54454491,"[1397  362    0    5    0 1665   12    0  180   14   68    0  596   37
    0   28]",[341  97   0   3   0 414   6   0  42   8  16   0 154   9   0   2]
wf2f,1292477511,"[1402  356    0    6    0 1664   13    0  174   20   68    0  605   33
    0   23]",[356  82   0   3   0 415   5   0  48   2  16   0 147  11   0   7]
wf4f,293835627,"[1429  327    0    8    2 1661   14    0  168   24   70    0  604   40
    0   17]",[354  87   0   0   1 415   4   0  42  10  14   0 155   7   0   3]
wf2f,1614471612,"[1415  343    0    6    0 1665   12    0  172   18   72    0  605   35
    0   21]",[338 101   0   2   0 414   6   0  49   5  12   0 147   9   0   9]
wf2f,1062239611,"[1404  354    0    6    0 1663   14    0  171   20   71    0  606   39
    0   16]",[348  91   0   2   0 416   4   0  50   3  13   0 153   5   0   7]
wf4f,1056830043,"[1414  344    0    6    3 1660   14    0  166   24   72    0  600   41
    0   20]",[366  73   0   2   0 416   4   0  44  10  12   0 158   3   0   4]
wf2f,1406300211,"[1387  370    0    7    0 1661   16    0  173   22   67    0  606   34
    0   21]",[345  95   0   1   0 418   2   0  47   2  17   0 151  11   0   3]
wf2f,468338682,"[1393  363    0    8    0 1661   16    0  175   19   68    0  604   38
    0   19]",[371  70   0   0   0 418   2   0  46   4  16   0 154   4   0   7]
wf2f,2006175329,"[1393  363    0    8    0 1662   15    0  182   21   59    0  611   34
    0   16]",[367  74   0   0   0 417   3   0  38   3  25   0 152   8   0   5]
wf4f,164662770,"[1418  338    0    8    3 1660   14    0  170   26   66    0  604   34
    0   23]",[366  75   0   0   0 416   4   0  40   8  18   0 151  10   0   4]
wf2f,1191732320,"[1391  367    0    6    0 1660   17    0  172   21   69    0  614   32
    0   15]",[341  98   0   2   0 419   1   0  47   4  15   0 146  12   0   7]
