dataset_name,random_state,cm_tr,cm_ts
vc3c,1980932681,[ 36  12   0  18  59   3  10   5 105],[11  1  0  6 14  0  0  0 30]
vc2c,641931343,[158  10  23  57],[35  7  7 13]
vc3c,915280321,[ 40   7   1  25  50   5  15   4 101],[11  1  0  6 13  1  3  0 27]
vc3c,829986915,[ 39   9   0  23  49   8  13   3 104],[10  2  0  3 17  0  6  1 23]
vc2c,150112056,[154  14  28  52],[39  3  8 12]
vc2c,1062239611,[157  11  28  52],[39  3  4 16]
vc2c,831782023,[155  13  24  56],[37  5  6 14]
vc2c,377822342,[158  10  30  50],[40  2  6 14]
vc3c,254628334,[ 39   8   1  20  53   7  14   4 102],[10  2  0  5 14  1  2  2 26]
vc2c,1530937790,[149  19  20  60],[40  2  6 14]
vc3c,919435187,[ 39   8   1  21  54   5  12   4 104],[ 8  4  0  3 14  3  4  2 24]
vc2c,835526394,[156  12  26  54],[39  3 10 10]
vc3c,879897629,[ 38  10   0  19  59   2   7   5 108],[ 9  3  0  8 12  0  2  0 28]
vc2c,1191732320,[158  10  29  51],[37  5  6 14]
vc2c,1538414818,[156  12  27  53],[41  1  9 11]
vc3c,390873262,[ 35  12   1  22  53   5  15   3 102],[10  2  0  1 17  2  3  1 26]
vc2c,133006160,[152  16  16  64],[35  7  8 12]
vc2c,1374845114,[153  15  27  53],[35  7  2 18]
vc3c,1278535671,[ 41   7   0  18  57   5  13   4 103],[ 8  3  1  7 12  1  5  2 23]
vc3c,614349878,[ 36  12   0  14  65   1   6   4 110],[10  2  0  6 12  2  2  1 27]
vc2c,992352623,[158  10  27  53],[40  2  7 13]
vc3c,1565921456,[ 41   6   1  25  49   6  15   4 101],[10  2  0  4 15  1  2  1 27]
vc2c,1000819612,[155  13  26  54],[39  3  8 12]
vc2c,2007166991,[156  12  29  51],[41  1  9 11]
vc3c,851227813,[ 42   5   1  22  54   4  13   5 102],[ 9  2  1  7 12  1  2  3 25]
vc3c,1687681813,[ 39   9   0  21  51   8  14   5 101],[10  1  1  6 12  2  2  0 28]
vc2c,714771773,[154  14  22  58],[36  6  7 13]
vc2c,293835627,[156  12  22  58],[37  5  8 12]
vc2c,722158869,[149  19  28  52],[41  1  3 17]
vc3c,1216982159,[ 38   9   1  24  49   7  16   4 100],[12  0  0  4 15  1  2  0 28]
vc2c,913970101,[155  13  27  53],[38  4  5 15]
vc2c,1448292546,[155  13  21  59],[31 11  5 15]
vc3c,345568667,[ 40   8   0  22  52   6  12   5 103],[ 9  2  1  4 14  2  6  1 23]
vc2c,2026330702,[155  13  24  56],[38  4  7 13]
vc2c,1090505867,[153  15  26  54],[38  4  7 13]
vc3c,43597691,[ 39   9   0  20  55   5  16   3 101],[11  1  0  5 13  2  5  0 25]
vc2c,1947729121,[151  17  25  55],[40  2  4 16]
vc3c,2063848834,[ 40   7   1  23  52   5  13   5 102],[10  2  0  3 16  1  4  1 25]
