,random_state,$k_{opt}$ [CV],Silhouette,Calinski-Harabasz,Davies-Bouldin,Dunn
0,1073219128,19,0,0,1,0
1,1083408183,2,1,0,0,0
2,1084850658,24,0,0,1,0
3,1122163231,2,1,0,0,0
4,1150350141,51,0,1,0,0
5,1164531875,17,0,1,0,0
6,1258145179,2,1,0,0,0
7,1279493223,5,0,0,0,1
8,1340173848,2,1,0,0,1
9,1341250263,2,1,0,0,0
10,1369999811,2,1,0,0,0
11,1415319480,52,0,0,0,1
12,1467373767,2,1,0,0,0
13,1515536585,2,1,0,0,0
14,1545156723,2,1,0,0,0
15,1563913557,20,0,0,1,0
16,1616248553,5,0,1,0,0
17,1673823422,2,1,0,0,0
18,1717607707,5,0,1,0,0
19,1769740991,2,1,0,0,0
20,1813743798,2,1,0,0,0
21,1815678476,46,0,0,0,1
22,1934644852,42,0,0,1,0
23,1948415885,2,1,0,0,0
24,1984592806,31,0,0,0,1
25,2071444879,52,0,1,0,0
26,2082721242,34,0,0,1,1
27,2105288516,24,0,0,1,0
28,383776909,2,1,0,0,0
29,439954366,28,0,0,1,0
30,496715263,36,0,0,0,1
31,515135687,2,1,0,0,0
32,553198502,33,0,0,1,0
33,565120325,13,0,0,1,0
34,582090252,2,1,0,0,0
35,641876005,31,0,0,0,1
36,658101020,29,0,0,0,1
37,661309350,29,0,1,0,0
38,732560260,51,0,0,0,1
39,734122488,52,0,0,1,0
40,73470257,29,0,0,1,0
41,769056302,35,0,1,0,0
42,771721097,20,0,0,0,1
43,773164400,2,1,0,0,0
44,780297093,49,0,0,0,1
45,888866443,2,1,0,0,0
46,933374443,3,0,0,0,1
47,94360174,2,1,0,0,0
48,972975441,23,0,0,1,0
49,991487909,2,1,0,0,1
