	vc2c	vc3c	wf24f	wf4f	wf2f	pk
0	0.8709677419354839	0.7419354838709677	0.6474358974358975	0.7371794871794872	0.7023809523809523	0.9230769230769231
1	0.7741935483870968	0.7419354838709677	0.663003663003663	0.7271062271062271	0.7206959706959707	0.8717948717948718
2	0.8548387096774194	0.7903225806451613	0.6291208791208791	0.6968864468864469	0.7243589743589743	0.8974358974358975
3	0.8387096774193549	0.9516129032258065	0.6327838827838828	0.7097069597069597	0.717032967032967	0.7948717948717948
4	0.9032258064516129	0.7580645161290323	0.6355311355311355	0.7445054945054945	0.728021978021978	0.9487179487179487
5	0.8064516129032258	0.7903225806451613	0.6391941391941391	0.7463369963369964	0.7298534798534798	0.9487179487179487
6	0.6290322580645161	0.7903225806451613	0.6318681318681318	0.7445054945054945	0.7289377289377289	0.8717948717948718
7	0.8870967741935484	0.8064516129032258	0.6263736263736264	0.7225274725274725	0.7316849816849816	0.8717948717948718
8	0.7741935483870968	0.7580645161290323	0.6428571428571429	0.6996336996336996	0.7133699633699634	0.8205128205128205
9	0.8709677419354839	0.8064516129032258	0.6355311355311355	0.7097069597069597	0.7197802197802198	0.8974358974358975
10	0.8548387096774194	0.7580645161290323	0.6272893772893773	0.7216117216117216	0.7005494505494505	0.8717948717948718
11	0.9032258064516129	0.7419354838709677	0.6190476190476191	0.7371794871794872	0.7197802197802198	0.8974358974358975
12	0.8870967741935484	0.7580645161290323	0.6263736263736264	0.7197802197802198	0.7225274725274725	0.8974358974358975
13	0.8387096774193549	0.8225806451612904	0.6547619047619048	0.728021978021978	0.7133699633699634	0.8974358974358975
14	0.8709677419354839	0.8548387096774194	0.6492673992673993	0.7197802197802198	0.75	0.8205128205128205
15	0.8225806451612904	0.7258064516129032	0.6391941391941391	0.717032967032967	0.7243589743589743	0.9230769230769231
16	0.8709677419354839	0.7096774193548387	0.6336996336996337	0.7133699633699634	0.7078754578754579	0.8717948717948718
